20211222	13:29:26 	e934ac89-fc2e-4bc9-b7cb-eb05dde95736	/	GET
25/12/2021	14:06:53 	7049c887-774c-497f-871d-b85f31d9ca43	[Method: GET]	[Origin: undefined]	[URL: /subdir/css/style.css]
25/12/2021	14:06:53 	da94b114-b71a-422f-a825-0fdf2c61b645	[Method: GET]	[Origin: undefined]	[URL: /favicon.ico]
25/12/2021	14:08:16 	ee250d94-30bb-4e32-a144-7d0ae7e8fff2	[Method: GET]	[Origin: undefined]	[URL: /subdir/a]
25/12/2021	14:08:16 	c456dfc5-1d6e-44a7-b3e7-1aa82ab11459	[Method: GET]	[Origin: undefined]	[URL: /subdir/css/style.css]
25/12/2021	14:08:24 	bfeedeb7-1a54-4dfe-8529-24f0ec620d24	[Method: GET]	[Origin: undefined]	[URL: /subdir/dsfadsfasd]
25/12/2021	14:08:24 	f97bbebb-5a9f-4080-8f67-912df52c5206	[Method: GET]	[Origin: undefined]	[URL: /subdir/css/style.css]
25/12/2021	14:15:14 	7e697d77-d8b5-49cd-9a74-67859f675a6b	[Method: GET]	[Origin: undefined]	[URL: /subdir/root]
25/12/2021	14:15:14 	f4318b11-76a8-4776-89a5-f7dbb40b7eb9	[Method: GET]	[Origin: undefined]	[URL: /subdir/css/style.css]
25/12/2021	14:16:07 	55c873d4-ed69-43f3-99b9-5b2ff0bd1fa9	[Method: GET]	[Origin: undefined]	[URL: /subdir/root]
25/12/2021	14:16:07 	6552f1ab-dcf6-4ed7-8891-e86ee44b54b1	[Method: GET]	[Origin: undefined]	[URL: /subdir/css/style.css]
25/12/2021	14:17:02 	867b0465-0079-4f26-ad5e-dad46571a772	[Method: GET]	[Origin: undefined]	[URL: /root]
25/12/2021	14:17:02 	af5e4ce4-4e9c-4546-9023-b8a4cdabea1b	[Method: GET]	[Origin: undefined]	[URL: /css/style.css]
25/12/2021	14:17:15 	0877993e-82d1-4372-82dd-e560e51cbae2	[Method: GET]	[Origin: undefined]	[URL: /]
